,user,mood,genre
0,1,angry,['Comedy']
1,1,disgusted,"['Children', 'Animation']"
2,1,fearful,0
3,1,happy,0
4,1,sad,0
5,1,surprised,0
6,1,neutral,0
7,2,angry,0
8,2,disgusted,0
9,2,fearful,0
10,2,happy,0
11,2,sad,0
12,2,surprised,0
13,2,neutral,0
14,3,angry,0
15,3,disgusted,0
16,3,fearful,0
17,3,happy,0
18,3,sad,0
19,3,surprised,0
20,3,neutral,0
21,4,angry,0
22,4,disgusted,0
23,4,fearful,0
24,4,happy,0
25,4,sad,0
26,4,surprised,0
27,4,neutral,0
28,5,angry,0
29,5,disgusted,0
30,5,fearful,0
31,5,happy,0
32,5,sad,0
33,5,surprised,0
34,5,neutral,0
35,6,angry,0
36,6,disgusted,0
37,6,fearful,0
38,6,happy,0
39,6,sad,0
40,6,surprised,0
41,6,neutral,0
42,7,angry,0
43,7,disgusted,0
44,7,fearful,0
45,7,happy,0
46,7,sad,0
47,7,surprised,0
48,7,neutral,0
49,8,angry,0
50,8,disgusted,0
51,8,fearful,0
52,8,happy,0
53,8,sad,0
54,8,surprised,0
55,8,neutral,0
56,9,angry,0
57,9,disgusted,0
58,9,fearful,0
59,9,happy,0
60,9,sad,0
61,9,surprised,0
62,9,neutral,0
63,10,angry,0
64,10,disgusted,0
65,10,fearful,0
66,10,happy,0
67,10,sad,0
68,10,surprised,0
69,10,neutral,0
70,11,angry,0
71,11,disgusted,0
72,11,fearful,0
73,11,happy,0
74,11,sad,0
75,11,surprised,0
76,11,neutral,0
77,12,angry,0
78,12,disgusted,0
79,12,fearful,0
80,12,happy,0
81,12,sad,0
82,12,surprised,0
83,12,neutral,0
84,13,angry,0
85,13,disgusted,0
86,13,fearful,0
87,13,happy,0
88,13,sad,0
89,13,surprised,0
90,13,neutral,0
91,14,angry,0
92,14,disgusted,0
93,14,fearful,0
94,14,happy,0
95,14,sad,0
96,14,surprised,0
97,14,neutral,0
98,15,angry,0
99,15,disgusted,0
100,15,fearful,0
101,15,happy,0
102,15,sad,0
103,15,surprised,0
104,15,neutral,0
105,16,angry,0
106,16,disgusted,0
107,16,fearful,0
108,16,happy,0
109,16,sad,0
110,16,surprised,0
111,16,neutral,0
112,17,angry,0
113,17,disgusted,0
114,17,fearful,0
115,17,happy,0
116,17,sad,0
117,17,surprised,0
118,17,neutral,0
119,18,angry,0
120,18,disgusted,0
121,18,fearful,0
122,18,happy,0
123,18,sad,0
124,18,surprised,0
125,18,neutral,0
126,19,angry,0
127,19,disgusted,0
128,19,fearful,0
129,19,happy,0
130,19,sad,0
131,19,surprised,0
132,19,neutral,0
133,20,angry,0
134,20,disgusted,0
135,20,fearful,0
136,20,happy,0
137,20,sad,0
138,20,surprised,0
139,20,neutral,0
140,21,angry,0
141,21,disgusted,0
142,21,fearful,0
143,21,happy,0
144,21,sad,0
145,21,surprised,0
146,21,neutral,0
147,22,angry,0
148,22,disgusted,0
149,22,fearful,0
150,22,happy,0
151,22,sad,0
152,22,surprised,0
153,22,neutral,0
154,23,angry,0
155,23,disgusted,0
156,23,fearful,0
157,23,happy,0
158,23,sad,0
159,23,surprised,0
160,23,neutral,0
161,24,angry,0
162,24,disgusted,0
163,24,fearful,0
164,24,happy,0
165,24,sad,0
166,24,surprised,0
167,24,neutral,0
168,25,angry,0
169,25,disgusted,0
170,25,fearful,0
171,25,happy,0
172,25,sad,0
173,25,surprised,0
174,25,neutral,0
175,26,angry,0
176,26,disgusted,0
177,26,fearful,0
178,26,happy,0
179,26,sad,0
180,26,surprised,0
181,26,neutral,0
182,27,angry,0
183,27,disgusted,0
184,27,fearful,0
185,27,happy,0
186,27,sad,0
187,27,surprised,0
188,27,neutral,0
189,28,angry,0
190,28,disgusted,0
191,28,fearful,0
192,28,happy,0
193,28,sad,0
194,28,surprised,0
195,28,neutral,0
196,29,angry,0
197,29,disgusted,0
198,29,fearful,0
199,29,happy,0
200,29,sad,0
201,29,surprised,0
202,29,neutral,0
203,30,angry,0
204,30,disgusted,0
205,30,fearful,0
206,30,happy,0
207,30,sad,0
208,30,surprised,0
209,30,neutral,0
210,31,angry,0
211,31,disgusted,0
212,31,fearful,0
213,31,happy,0
214,31,sad,0
215,31,surprised,0
216,31,neutral,0
217,32,angry,0
218,32,disgusted,0
219,32,fearful,0
220,32,happy,0
221,32,sad,0
222,32,surprised,0
223,32,neutral,0
224,33,angry,0
225,33,disgusted,0
226,33,fearful,0
227,33,happy,0
228,33,sad,0
229,33,surprised,0
230,33,neutral,0
231,34,angry,0
232,34,disgusted,0
233,34,fearful,0
234,34,happy,0
235,34,sad,0
236,34,surprised,0
237,34,neutral,0
238,35,angry,0
239,35,disgusted,0
240,35,fearful,0
241,35,happy,0
242,35,sad,0
243,35,surprised,0
244,35,neutral,0
245,36,angry,0
246,36,disgusted,0
247,36,fearful,0
248,36,happy,0
249,36,sad,0
250,36,surprised,0
251,36,neutral,0
252,39,angry,0
253,39,disgusted,0
254,39,fearful,0
255,39,happy,0
256,39,sad,0
257,39,surprised,0
258,39,neutral,0
259,40,angry,0
260,40,disgusted,0
261,40,fearful,0
262,40,happy,0
263,40,sad,0
264,40,surprised,0
265,40,neutral,0
266,41,angry,0
267,41,disgusted,0
268,41,fearful,0
269,41,happy,0
270,41,sad,0
271,41,surprised,0
272,41,neutral,0
273,42,angry,0
274,42,disgusted,0
275,42,fearful,0
276,42,happy,0
277,42,sad,0
278,42,surprised,0
279,42,neutral,0
280,43,angry,0
281,43,disgusted,0
282,43,fearful,0
283,43,happy,0
284,43,sad,0
285,43,surprised,0
286,43,neutral,0
287,44,angry,0
288,44,disgusted,0
289,44,fearful,0
290,44,happy,0
291,44,sad,0
292,44,surprised,0
293,44,neutral,0
294,45,angry,0
295,45,disgusted,0
296,45,fearful,0
297,45,happy,0
298,45,sad,0
299,45,surprised,0
300,45,neutral,0
301,46,angry,0
302,46,disgusted,0
303,46,fearful,0
304,46,happy,0
305,46,sad,0
306,46,surprised,0
307,46,neutral,0
308,47,angry,0
309,47,disgusted,0
310,47,fearful,0
311,47,happy,0
312,47,sad,0
313,47,surprised,0
314,47,neutral,0
315,48,angry,0
316,48,disgusted,0
317,48,fearful,0
318,48,happy,0
319,48,sad,0
320,48,surprised,0
321,48,neutral,0
322,49,angry,0
323,49,disgusted,0
324,49,fearful,0
325,49,happy,0
326,49,sad,0
327,49,surprised,0
328,49,neutral,0
329,50,angry,0
330,50,disgusted,0
331,50,fearful,0
332,50,happy,0
333,50,sad,0
334,50,surprised,0
335,50,neutral,0
336,52,angry,0
337,52,disgusted,0
338,52,fearful,0
339,52,happy,0
340,52,sad,0
341,52,surprised,0
342,52,neutral,0
343,53,angry,0
344,53,disgusted,0
345,53,fearful,0
346,53,happy,0
347,53,sad,0
348,53,surprised,0
349,53,neutral,0
350,54,angry,0
351,54,disgusted,0
352,54,fearful,0
353,54,happy,0
